prname,date,tpr,testing policy,government stringency index,Test rate,international travel controls,restrictions on public gatherings,school closures,public information campaign,income relief,debt or contract relief
Canada,12-03-2020,0.91,2,22.22,0.0293,1,0,0,2,0,0
Canada,13-03-2020,1.16,2,22.22,0.0404,1,0,0,2,0,0
Canada,14-03-2020,0.86,2,24.07,0.0404,1,0,0,2,0,0
Canada,15-03-2020,1,2,24.07,0.0596,1,0,0,2,2,0
Canada,16-03-2020,0.86,2,43.52,0.0664,1,3,0,2,2,0
Canada,17-03-2020,0.96,2,43.52,0.1004,1,3,3,2,2,0
Canada,18-03-2020,1.06,2,61.11,0.1175,1,3,3,2,2,1
Canada,19-03-2020,1.28,3,61.11,0.1425,4,3,3,2,2,1
Canada,20-03-2020,1.26,3,71.3,0.1752,4,3,3,2,2,1
Canada,21-03-2020,1.46,3,71.3,0.2044,4,3,3,2,2,1
Canada,22-03-2020,1.45,3,71.3,0.2365,4,3,3,2,2,1
Canada,23-03-2020,1.54,3,72.69,0.2629,4,4,3,2,2,1
Canada,24-03-2020,1.57,3,72.69,0.285,4,4,3,2,2,1
Canada,25-03-2020,2.29,3,72.69,0.3327,4,4,3,2,2,1
Canada,26-03-2020,2.49,3,72.69,0.3932,4,4,3,2,2,1
Canada,27-03-2020,2.74,3,72.69,0.4299,4,4,3,2,2,1
Canada,28-03-2020,2.87,3,72.69,0.454,4,4,3,2,2,1
Canada,29-03-2020,2.97,3,72.69,0.4987,4,4,3,2,2,1
Canada,30-03-2020,3.29,3,72.69,0.5598,4,4,3,2,2,1
Canada,31-03-2020,3.54,3,72.69,0.6005,4,4,3,2,2,1
Canada,01-04-2020,3.73,3,74.54,0.6415,4,4,3,2,2,1
Canada,02-04-2020,4.12,3,74.54,0.6835,4,4,3,2,2,1
Canada,03-04-2020,4.24,3,74.54,0.728,4,4,3,2,2,1
Canada,04-04-2020,4.45,3,72.69,0.785,4,4,3,2,2,1
Canada,05-04-2020,4.77,3,72.69,0.8299,4,4,3,2,2,1
Canada,06-04-2020,4.94,3,72.69,0.8641,4,4,3,2,2,1
Canada,07-04-2020,5.14,3,72.69,0.896,4,4,3,2,2,1
Canada,08-04-2020,5.32,3,72.69,0.9261,4,4,3,2,2,1
Canada,09-04-2020,5.53,3,72.69,0.963,4,4,3,2,2,1
Canada,10-04-2020,5.66,3,72.69,0.9984,4,4,3,2,2,1
Canada,11-04-2020,5.76,3,72.69,1.0412,4,4,3,2,2,1
Canada,12-04-2020,5.77,3,72.69,1.0765,4,4,3,2,2,1
Canada,13-04-2020,5.87,3,72.69,1.1232,4,4,3,2,2,1
Canada,14-04-2020,5.94,3,72.69,1.1638,4,4,3,2,2,1
Canada,15-04-2020,6.06,3,72.69,1.2104,4,4,3,2,2,1
Canada,16-04-2020,6.17,3,72.69,1.2443,4,4,3,2,2,1
Canada,17-04-2020,6.28,3,72.69,1.2972,4,4,3,2,2,1
Canada,18-04-2020,6.31,3,72.69,1.3507,4,4,3,2,2,1
Canada,19-04-2020,6.33,3,72.69,1.4048,4,4,3,2,2,1
Canada,20-04-2020,6.58,3,72.69,1.4615,4,4,3,2,2,1
Canada,21-04-2020,6.74,3,72.69,1.4887,4,4,3,2,2,1
Canada,22-04-2020,6.56,3,72.69,1.5161,4,4,3,2,2,1
Canada,23-04-2020,6.63,3,72.69,1.6286,4,4,3,2,2,1
